gordoaa01:Gordon,Aaron
fournev01:Fournier,Evan
vucevni01:Vučević,Nikola
augusdj01:Augustin,D.J.
isaacjo01:Isaac,Jonathan
rosste01:Ross,Terrence
iwundwe01:Iwundu,Wes
cartemi01:Carter-Williams,Michael
birchkh01:Birch,Khem
martija01:Martin,Jarell
grantje02:Grant,Jerian
jeffeam01:Jefferson,Amile
frazime01:Frazier,Melvin
irvinky01:Irving,Kyrie
horfoal01:Horford,Al
smartma01:Smart,Marcus
baynear01:Baynes,Aron
tatumja01:Tatum,Jayson
haywago01:Hayward,Gordon
morrima03:Morris,Marcus
brownja02:Brown,Jaylen
roziete01:Rozier,Terry
theisda01:Theis,Daniel
wanambr01:Wanamaker,Brad
williro04:Williams,Robert
ojelese01:Ojeleye,Semi
derozde01:DeRozan,DeMar
forbebr01:Forbes,Bryn
aldrila01:Aldridge,LaMarcus
poeltja01:Poeltl,Jakob
whitede01:White,Derrick
millspa02:Mills,Patty
bertada01:Bertāns,Dāvis
gayru01:Gay,Rudy
belinma01:Belinelli,Marco
walkelo01:Walker,Lonnie
motiedo01:Motiejūnas,Donatas
pondequ01:Pondexter,Quincy
cunnida01:Cunningham,Dante
sextoco01:Sexton,Collin
osmande01:Osman,Cedi
nancela02:Nance,Larry
knighbr03:Knight,Brandon
fryech01:Frye,Channing
clarkjo01:Clarkson,Jordan
nwabada01:Nwaba,David
zizican01:Žižić,Ante
loveke01:Love,Kevin
chrisma01:Chriss,Marquese
adelde01:Adel,Deng
stausni01:Stauskas,Nik
walkeke02:Walker,Kemba
bridgmi02:Bridges,Miles
bacondw01:Bacon,Dwayne
batumni01:Batum,Nicolas
biyombi01:Biyombo,Bismack
kaminfr01:Kaminsky,Frank
lambje01:Lamb,Jeremy
grahade01:Graham,Devonte'
monkma01:Monk,Malik
macurjp01:Macura,J.P.
parketo01:Parker,Tony
hernawi01:Hernangómez,Willy
macksh01:Mack,Shelvin
drumman01:Drummond,Andre
griffbl01:Griffin,Blake
ellinwa01:Ellington,Wayne
brownbr01:Brown,Bruce
jacksre01:Jackson,Reggie
smithis01:Smith,Ish
kennalu01:Kennard,Luke
makerth01:Maker,Thon
gallola01:Galloway,Langston
robingl02:Robinson,Glenn
pachuza01:Pachulia,Zaza
leuerjo01:Leuer,Jon
thomakh01:Thomas,Khyri
chandwi01:Chandler,Wilson
harremo01:Harrell,Montrezl
shamela01:Shamet,Landry
gilgesh01:Gilgeous-Alexander,Shai
willilo02:Williams,Lou
zubaciv01:Zubac,Ivica
wallaty01:Wallace,Tyrone
templga01:Temple,Garrett
robinje01:Robinson,Jerome
thornsi01:Thornwell,Sindarius
motlejo01:Motley,Johnathan
gallida01:Gallinari,Danilo
delgaan01:Delgado,Ángel
thompkl01:Thompson,Klay
curryst01:Curry,Stephen
greendr01:Green,Draymond
duranke01:Durant,Kevin
couside01:Cousins,DeMarcus
cookqu01:Cook,Quinn
mckinal01:McKinnie,Alfonzo
looneke01:Looney,Kevon
livinsh01:Livingston,Shaun
jerebjo01:Jerebko,Jonas
leeda03:Lee,Damion
bogutan01:Bogut,Andrew
belljo01:Bell,Jordan
bridgmi01:Bridges,Mikal
bendedr01:Bender,Dragan
jacksjo02:Jackson,Josh
okoboel01:Okobo,Elie
spaldra01:Spalding,Ray
crawfja01:Crawford,Jamal
danietr01:Daniels,Troy
meltode01:Melton,De'Anthony
fredeji01:Fredette,Jimmer
holmeri01:Holmes,Richaun
bookede01:Booker,Devin
hardeja01:Harden,James
paulch01:Paul,Chris
capelca01:Capela,Clint
gordoer01:Gordon,Eric
tuckepj01:Tucker,P.J.
riverau01:Rivers,Austin
houseda01:House,Danuel
shumpim01:Shumpert,Iman
hilarne01:Hilário,Nenê
greenge01:Green,Gerald
clarkga01:Clark,Gary
farieke01:Faried,Kenneth
chiozch01:Chiozza,Chris
harrijo01:Harris,Joe
russeda01:Russell,D'Angelo
allenja01:Allen,Jarrett
kurucro01:Kurucs,Rodions
carrode01:Carroll,DeMarre
leverca01:LeVert,Caris
dudleja01:Dudley,Jared
dinwisp01:Dinwiddie,Spencer
grahatr01:Graham,Treveon
davised01:Davis,Ed
napiesh01:Napier,Shabazz
holliro01:Hollis-Jefferson,Rondae
bogdabo02:Bogdanović,Bojan
youngth01:Young,Thaddeus
matthwe02:Matthews,Wesley
collida01:Collison,Darren
turnemy01:Turner,Myles
sabondo01:Sabonis,Domantas
holidaa01:Holiday,Aaron
mcderdo01:McDermott,Doug
josepco01:Joseph,Cory
leaftj01:Leaf,T.J.
oquinky01:O'Quinn,Kyle
reedda01:Reed,Davon
sumneed01:Sumner,Edmond
mitchdo01:Mitchell,Donovan
goberru01:Gobert,Rudy
inglejo01:Ingles,Joe
onealro01:O'Neale,Royce
sefolth01:Sefolosha,Thabo
niangge01:Niang,Georges
crowdja01:Crowder,Jae
allengr01:Allen,Grayson
udohek01:Udoh,Ekpe
bradlto01:Bradley,Tony
cavanty01:Cavanaugh,Tyler
mitrona01:Mitrou-Long,Naz
carusal01:Caruso,Alex
caldwke01:Caldwell-Pope,Kentavious
muscami01:Muscala,Mike
jonesje01:Jones,Jemerrio
mcgeeja01:McGee,JaVale
willijo04:Williams,Johnathan
bongais01:Bonga,Isaac
wagnemo01:Wagner,Moritz
bullore01:Bullock,Reggie
rondora01:Rondo,Rajon
chandty01:Chandler,Tyson
stephla01:Stephenson,Lance
brunsja01:Brunson,Jalen
poweldw01:Powell,Dwight
jacksju01:Jackson,Justin
leeco01:Lee,Courtney
nowitdi01:Nowitzki,Dirk
finnedo01:Finney-Smith,Dorian
maconda01:Macon,Daryl
mejrisa01:Mejri,Salah
burketr01:Burke,Trey
harride01:Harris,Devin
broekry01:Broekhoff,Ryan
wrighde01:Wright,Delon
holidju01:Holiday,Justin
cabocbr01:Caboclo,Bruno
dorsety01:Dorsey,Tyler
rabbiv01:Rabb,Ivan
parsoch01:Parsons,Chandler
zellety01:Zeller,Tyler
carteje01:Carter,Jevon
washbju01:Washburn,Julian
watanyu01:Watanabe,Yuta
conlemi01:Conley,Mike
noahjo01:Noah,Joakim
lenal01:Len,Alex
princta02:Prince,Taurean
adamsja01:Adams,Jaylen
huertke01:Huerter,Kevin
humphis01:Humphries,Isaac
cartevi01:Carter,Vince
bazemke01:Bazemore,Kent
bembrde01:Bembry,DeAndre'
anderju01:Anderson,Justin
davisde01:Davis,Deyonta
collijo01:Collins,John
youngtr01:Young,Trae
brownst02:Brown,Sterling
middlkh01:Middleton,Khris
antetgi01:Antetokounmpo,Giannis
bledser01:Bledsoe,Eric
lopezbr01:Lopez,Brook
connapa01:Connaughton,Pat
fraziti01:Frazier,Tim
wilsodj01:Wilson,D.J.
hillge01:Hill,George
ilyaser01:İlyasova,Ersan
colsobo01:Colson,Bonzie
snellto01:Snell,Tony
westbru01:Westbrook,Russell
georgpa01:George,Paul
grantje01:Grant,Jerami
adamsst01:Adams,Steven
fergute01:Ferguson,Terrance
schrode01:Schröder,Dennis
morrima02:Morris,Markieff
noelne01:Noel,Nerlens
feltora01:Felton,Raymond
pattepa01:Patterson,Patrick
burtode02:Burton,Deonte
naderab01:Nader,Abdel
diallha01:Diallo,Hamidou
okogijo01:Okogie,Josh
jonesty01:Jones,Tyus
wiggian01:Wiggins,Andrew
townska01:Towns,Karl-Anthony
saricda01:Šarić,Dario
bateske01:Bates-Diop,Keita
tollian01:Tolliver,Anthony
dienggo01:Dieng,Gorgui
terreja01:Terrell,Jared
reynoca01:Reynolds,Cameron
creekmi01:Creek,Mitch
willicj01:Williams,C.J.
bayleje01:Bayless,Jerryd
browntr01:Brown,Troy
satorto01:Satoranský,Tomáš
portibo01:Portis,Bobby
bealbr01:Beal,Bradley
bryanth01:Bryant,Thomas
dekkesa01:Dekker,Sam
randlch01:Randle,Chasson
mahinia01:Mahinmi,Ian
robinde01:Robinson,Devin
greenje02:Green,Jeff
mcraejo01:McRae,Jordan
parkeja01:Parker,Jabari
robinmi01:Robinson,Mitchell
kornelu01:Kornet,Luke
hezonma01:Hezonja,Mario
knoxke01:Knox,Kevin
dotsoda01:Dotson,Damyean
smithde03:Smith,Dennis
jenkijo01:Jenkins,John
ellenhe01:Ellenson,Henry
jordade01:Jordan,DeAndre
thomala01:Thomas,Lance
hicksis01:Hicks,Isaiah
garrebi01:Garrett,Billy
plumlma01:Plumlee,Mason
lylestr01:Lyles,Trey
morrimo01:Morris,Monte
harriga01:Harris,Gary
bartowi01:Barton,Will
beaslma01:Beasley,Malik
thomais02:Thomas,Isaiah
hernaju01:Hernangómez,Juancho
craigto01:Craig,Torrey
vandeja01:Vanderbilt,Jarred
lydonty01:Lydon,Tyler
welshth01:Welsh,Thomas
goodwbr01:Goodwin,Brandon
lillada01:Lillard,Damian
kanteen01:Freedom,Enes
aminual01:Aminu,Al-Farouq
mccolcj01:McCollum,CJ
harklma01:Harkless,Maurice
hoodro01:Hood,Rodney
curryse01:Curry,Seth
turneev01:Turner,Evan
colliza01:Collins,Zach
laymaja01:Layman,Jake
labissk01:Labissière,Skal
leoname01:Leonard,Meyers
simonan01:Simons,Anfernee
paytoel01:Payton,Elfrid
clarkia01:Clark,Ian
okafoja01:Okafor,Jahlil
willike04:Williams,Kenrich
woodch01:Wood,Christian
diallch01:Diallo,Cheick
hillso01:Hill,Solomon
bertada02:Bertāns,Dairis
davisan02:Davis,Anthony
randlju01:Randle,Julius
johnsst04:Johnson,Stanley
jacksfr01:Jackson,Frank
milleda01:Miller,Darius
barneha02:Barnes,Harrison
foxde01:Fox,De'Aaron
hieldbu01:Hield,Buddy
bjeline01:Bjelica,Nemanja
caulewi01:Cauley-Stein,Willie
baglema01:Bagley,Marvin
bogdabo01:Bogdanović,Bogdan
ferreyo01:Ferrell,Yogi
breweco01:Brewer,Corey
willitr02:Williams,Troy
masonfr01:Mason,Frank
swanica01:Swanigan,Caleb
johnsbj01:Johnson,B.J.
dragigo01:Dragić,Goran
winslju01:Winslow,Justise
waitedi01:Waiters,Dion
adebaba01:Adebayo,Bam
olynyke01:Olynyk,Kelly
wadedw01:Wade,Dwyane
johnsja01:Johnson,James
mcgruro01:McGruder,Rodney
whiteha01:Whiteside,Hassan
